rank,grid,rank_group
1,grid.4991.5,1
2,grid.5335.0,1
3,grid.168010.e,1
4,grid.116068.8,1
5,grid.20861.3d,1
6,grid.38142.3c,1
7,grid.16750.35,1
8,grid.47100.32,1
9,grid.7445.2,1
10,grid.170205.1,1
11,grid.5801.c,1
12,grid.21107.35,1
12,grid.25879.31,1
14,grid.83440.3b,1
15,grid.47840.3f,1
16,grid.21729.3f,1
17,grid.19006.3e,1
18,grid.26009.3d,1
19,grid.5386.8,1
20,grid.214458.e,1
21,grid.17063.33,2
22,grid.12527.33,2
23,grid.4280.e,2
24,grid.147455.6,2
25,grid.16753.36,2
26,grid.13063.37,2
27,grid.137628.9,2
28,grid.34477.33,2
29,grid.4305.2,2
30,grid.266100.3,2
31,grid.11135.37,2
32,grid.5252.0,2
32,grid.1008.9,2
34,grid.213917.f,2
35,grid.5333.6,2
36,grid.194645.b,2
37,grid.17091.3e,2
38,grid.13097.3c,2
39,grid.89336.37,2
40,grid.4714.6,2
41,grid.24515.37,2
41,grid.440907.e,2
42,grid.26999.3d,2
43,grid.14003.36,2
44,grid.14709.3b,2
44,grid.6936.a,2
47,grid.7700.0,2
48,grid.5596.f,2
49,grid.1001.0,2
50,grid.35403.31,2
51,grid.59025.3b,3
52,grid.133342.4,3
53,grid.40263.33,3
53,grid.10784.3a,3
54,grid.4367.6,3
56,grid.10698.36,3
57,grid.5379.8,3
58,grid.5292.c,3
59,grid.27860.3b,3
59,grid.1013.3,3
59,grid.4818.5,3
62,grid.7177.6,3
63,grid.31501.36,3
64,grid.169077.e,3
65,grid.258799.8,3
66,grid.42505.36,3
67,grid.7468.d,3
68,grid.5132.5,3
69,grid.1003.2,3
70,grid.6906.9,3
71,grid.17635.36,3
71,grid.261331.4,3
73,grid.462844.8,3
74,grid.189504.1,3
74,grid.5477.1,3
76,grid.5963.9,3
77,grid.25073.33,3
78,grid.5337.2,3
79,grid.4830.f,3
79,grid.7372.1,3
81,grid.29857.31,3
82,grid.164295.d,3
82,grid.264381.a,3
84,grid.189967.8,3
84,grid.1002.3,3
86,grid.21940.3e,3
87,grid.1957.a,3
87,grid.8993.b,3
89,grid.10392.39,3
90,grid.6363.0,3
90,grid.14848.31,3
90,grid.7400.3,3
93,grid.59053.3a,3
93,grid.8756.c,3
93,grid.17088.36,3
96,grid.266093.8,3
96,grid.1005.4,3
98,grid.4514.4,3
99,grid.254880.3,3
99,grid.7737.4,3
101,grid.13402.34,4
102,grid.37172.30,4
103,grid.6612.3,4
104,grid.14095.39,4
104,grid.8547.e,4
106,grid.11835.3e,4
107,grid.27755.32,4
108,grid.10877.39,4
109,grid.213910.8,4
110,grid.5734.5,4
110,grid.10388.32,4
110,grid.35030.35,4
110,grid.21925.3d,4
114,grid.266190.a,4
114,grid.8250.f,4
116,grid.6572.6,4
116,grid.5254.6,4
118,grid.5491.9,4
119,grid.5685.e,4
120,grid.8217.c,4
121,grid.5510.1,4
121,grid.152326.1,4
123,grid.7048.b,4
123,grid.215654.1,4
123,grid.7450.6,4
123,grid.5601.2,4
123,grid.5590.9,4
128,grid.7942.8,4
128,grid.5012.6,4
130,grid.4868.2,4
131,grid.6734.6,4
132,grid.17089.37,4
132,grid.67105.35,4
134,grid.41156.37,4
134,grid.1012.2,4
135,grid.1010.0,4
135,grid.8591.5,4
135,grid.9026.d,4
135,grid.7892.4,4
135,grid.5612.0,4
141,grid.8391.3,4
142,grid.49100.3c,4
143,grid.5342.0,4
143,grid.10420.37,4
145,grid.7080.f,4
146,grid.6190.e,4
146,grid.411377.7,4
146,grid.9835.7,4
149,grid.4563.4,4
149,grid.6582.9,4
151,grid.4488.0,4
152,grid.429997.8,4
153,grid.9909.9,4
153,grid.263145.7,4
153,grid.10548.38,4
156,grid.7836.a,4
156,grid.15276.37,4
158,grid.7107.1,4
159,grid.134563.6,4
159,grid.16890.36,4
159,grid.8379.5,4
161,grid.6093.c,4
161,grid.12082.39,4
163,grid.16416.34,4
163,grid.5170.3,4
165,grid.11914.3c,4
166,grid.12380.38,4
167,grid.205975.c,4
167,grid.6852.9,4
167,grid.9918.9,4
170,grid.19188.39,4
171,grid.1006.7,4
171,grid.264756.4,4
173,grid.131063.6,4
175,grid.5330.5,4
176,grid.9851.5,4
176,grid.28046.38,4
176,grid.430387.b,4
179,grid.265892.2,4
180,grid.6292.f,4
181,grid.5373.2,4
181,grid.253615.6,4
181,grid.10025.36,4
184,grid.5949.1,4
184,grid.261112.7,4
184,grid.6214.1,4
187,grid.5600.3,4
187,grid.5037.1,4
189,grid.9811.1,4
189,grid.16821.3c,4
190,grid.5718.b,4
190,grid.8273.e,4
190,grid.39381.30,4
194,grid.5117.2,4
194,grid.7452.4,4
196,grid.117476.2,4
197,grid.7914.b,4
198,grid.222754.4,4
199,grid.22072.35,4
199,grid.14476.30,4
201–250,grid.5284.b,5
201–250,grid.9654.e,5
201–250,grid.5841.8,5
201–250,grid.7340.0,5
201–250,grid.7491.b,5
201–250,grid.253264.4,5
201–250,grid.273335.3,5
201–250,grid.266097.c,5
201–250,grid.5371.0,5
201–250,grid.4655.2,5
201–250,grid.8241.f,5
201–250,grid.424447.5,5
201–250,grid.15140.31,5
201–250,grid.8534.a,5
201–250,grid.8761.8,5
201–250,grid.410445.0,5
201–250,grid.9619.7,5
201–250,grid.9464.f,5
201–250,grid.214572.7,5
201–250,grid.1011.1,5
201–250,grid.9764.c,5
201–250,grid.412125.1,5
201–250,grid.4989.c,5
201–250,grid.16008.3f,5
201–250,grid.1004.5,5
201–250,grid.266683.f,5
201–250,grid.11598.34,5
201–250,grid.22937.3d,5
201–250,grid.26790.3a,5
201–250,grid.29980.3a,5
201–250,grid.5608.b,5
201–250,grid.5842.b,5
201–250,grid.11046.32,5
201–250,grid.11348.3f,5
201–250,grid.4777.3,5
201–250,grid.1024.7,5
201–250,grid.9435.b,5
201–250,grid.4912.e,5
201–250,grid.1026.5,5
201–250,grid.5509.9,5
201–250,grid.12136.37,5
201–250,grid.12295.3d,5
201–250,grid.42687.3f,5
201–250,grid.7886.1,5
201–250,grid.223827.e,5
201–250,grid.15496.3f,5
201–250,grid.46078.3d,5
201–250,grid.264889.9,5
201–250,grid.11951.3d,5
201–250,grid.1007.6,5
201–250,grid.15444.30,5
251–300,grid.414601.6,5
251–300,grid.1039.b,5
251–300,grid.24827.3b,5
251–300,grid.254277.1,5
251–300,grid.254549.b,5
251–300,grid.55602.34,5
251–300,grid.33489.35,5
251–300,grid.8356.8,5
251–300,grid.1014.4,5
251–300,grid.255986.5,5
251–300,grid.7839.5,5
251–300,grid.1022.1,5
251–300,grid.14013.37,5
251–300,grid.185648.6,5
251–300,grid.34980.36,5
251–300,grid.15078.3b,5
251–300,grid.5802.f,5
251–300,grid.23856.3a,5
251–300,grid.10253.35,5
251–300,grid.18763.3b,5
251–300,grid.5924.a,5
251–300,grid.40803.3f,5
251–300,grid.5288.7,5
251–300,grid.136593.b,5
251–300,grid.10858.34,5
251–300,grid.410356.5,5
251–300,grid.4970.a,5
251–300,grid.5570.7,5
251–300,grid.264200.2,5
251–300,grid.11899.38,5
251–300,grid.7841.a,5
251–300,grid.61971.38,5
251–300,grid.10825.3e,5
251–300,grid.170693.a,5
251–300,grid.36425.36,5
251–300,grid.5719.a,5
251–300,grid.5475.3,5
251–300,grid.4827.9,5
251–300,grid.6341.0,5
251–300,grid.264484.8,5
251–300,grid.6546.1,5
251–300,grid.267323.1,5
251–300,grid.69566.3a,5
251–300,grid.32197.3e,5
251–300,grid.11696.39,5
251–300,grid.5329.d,5
251–300,grid.438526.e,5
251–300,grid.8767.e,5
251–300,grid.241167.7,5
301–350,grid.5399.6,5
301–350,grid.70738.3b,5
301–350,grid.411335.1,5
301–350,grid.63124.32,5
301–350,grid.5115.0,5
301–350,grid.252547.3,5
301–350,grid.7384.8,5
301–350,grid.88379.3d,5
301–350,grid.208226.c,5
301–350,grid.7704.4,5
301–350,grid.21006.35,5
301–350,grid.241116.1,5
301–350,grid.63054.34,5
301–350,grid.1032.0,5
301–350,grid.15810.3d,5
301–350,grid.266239.a,5
301–350,grid.11417.32,5
301–350,grid.22448.38,5
301–350,grid.411819.4,5
301–350,grid.9531.e,5
301–350,grid.410682.9,5
301–350,grid.266436.3,5
301–350,grid.440568.b,5
301–350,grid.1018.8,5
301–350,grid.4861.b,5
301–350,grid.10347.31,5
301–350,grid.4708.b,5
301–350,grid.121334.6,5
301–350,grid.27476.30,5
301–350,grid.4691.a,5
301–350,grid.6142.1,5
301–350,grid.266842.c,5
301–350,grid.266832.b,5
301–350,grid.4391.f,5
301–350,grid.5395.a,5
301–350,grid.4643.5,5
301–350,grid.9580.4,5
301–350,grid.440614.3,5
301–350,grid.11956.3a,5
301–350,grid.12981.33,5
301–350,grid.10939.32,5
301–350,grid.6451.6,5
301–350,grid.411461.7,5
301–350,grid.5675.1,5
301–350,grid.265219.b,5
301–350,grid.12650.30,5
301–350,grid.7872.a,5
301–350,grid.12832.3a,5
301–350,grid.143640.4,5
301–350,grid.1019.9,5
301–350,grid.30064.31,5
301–350,grid.254444.7,5
301–350,grid.49470.3e,5
351–400,grid.8186.7,5
351–400,grid.7273.1,5
351–400,grid.5515.4,5
351–400,grid.411496.f,5
351–400,grid.266096.d,5
351–400,grid.28577.3f,5
351–400,grid.460782.f,5
351–400,grid.8127.c,5
351–400,grid.6603.3,5
351–400,grid.1021.2,5
351–400,grid.166341.7,5
351–400,grid.9668.1,5
351–400,grid.34988.3e,5
351–400,grid.49606.3d,5
351–400,grid.257060.6,5
351–400,grid.33199.31,5
351–400,grid.486295.4,5
351–400,grid.450280.b,5
351–400,grid.5771.4,5
351–400,grid.34421.30,5
351–400,grid.37553.37,5
351–400,grid.8664.c,5
351–400,grid.266515.3,5
351–400,grid.9759.2,5
351–400,grid.289247.2,5
351–400,grid.5640.7,5
351–400,grid.437123.0,5
351–400,grid.95004.38,5
351–400,grid.7548.e,5
351–400,grid.216938.7,5
351–400,grid.183446.c,5
351–400,grid.24434.35,5
351–400,grid.5947.f,5
351–400,grid.9027.c,5
351–400,grid.33647.35,5
351–400,grid.262743.6,5
351–400,grid.5334.1,5
351–400,grid.11780.3f,5
351–400,grid.9024.f,5
351–400,grid.11918.30,5
351–400,grid.1009.8,5
351–400,grid.264727.2,5
351–400,grid.1374.1,5
351–400,grid.43519.3a,5
351–400,grid.59062.38,5
351–400,grid.1029.a,5
351–400,grid.21100.32,5
401–500,grid.411015.0,5
401–500,grid.265893.3,5
401–500,grid.22903.3a,5
401–500,grid.411958.0,5
401–500,grid.7362.0,5
401–500,grid.7644.1,5
401–500,grid.22098.31,5
401–500,grid.412041.2,5
401–500,grid.7728.a,5
401–500,grid.7778.f,5
401–500,grid.411087.b,5
401–500,grid.8142.f,5
401–500,grid.16068.39,5
401–500,grid.494567.d,5
401–500,grid.4491.8,5
401–500,grid.7849.2,5
401–500,grid.47894.36,5
401–500,grid.4795.f,5
401–500,grid.412187.9,5
401–500,grid.412193.c,5
401–500,grid.15596.3e,5
401–500,grid.8484.0,5
401–500,grid.8404.8,5
401–500,grid.65456.34,5
401–500,grid.256115.4,5
401–500,grid.5606.5,5
401–500,grid.213876.9,5
401–500,grid.256304.6,5
401–500,grid.410413.3,5
401–500,grid.5603.0,5
401–500,grid.61221.36,5
401–500,grid.6884.2,5
401–500,grid.19373.3f,5
401–500,grid.12155.32,5
401–500,grid.39158.36,5
401–500,grid.221309.b,5
401–500,grid.417971.d,5
401–500,grid.19003.3b,5
401–500,grid.444359.b,5
401–500,grid.9681.6,5
401–500,grid.7645.0,5
401–500,grid.266539.d,5
401–500,grid.15876.3d,5
401–500,grid.16463.36,5
401–500,grid.177174.3,5
401–500,grid.9122.8,5
401–500,grid.412304.0,5
401–500,grid.6571.5,5
401–500,grid.21613.37,5
401–500,grid.7010.6,5
401–500,grid.15822.3c,5
401–500,grid.7563.7,5
401–500,grid.253613.0,5
401–500,grid.1025.6,5
401–500,grid.45907.3f,5
401–500,grid.38348.34,5
401–500,grid.266813.8,5
401–500,grid.39679.32,5
401–500,grid.261120.6,5
401–500,grid.42629.3b,5
401–500,grid.266900.b,5
401–500,grid.15895.30,5
401–500,grid.8982.b,5
401–500,grid.11201.33,5
401–500,grid.4466.0,5
401–500,grid.4800.c,5
401–500,grid.5808.5,5
401–500,grid.4701.2,5
401–500,grid.412603.2,5
401–500,grid.1017.7,5
401–500,grid.6530.0,5
401–500,grid.8509.4,5
401–500,grid.410367.7,5
401–500,grid.20931.39,5
401–500,grid.15775.31,5
401–500,grid.25152.31,5
401–500,grid.451239.8,5
401–500,grid.11804.3c,5
401–500,grid.5836.8,5
401–500,grid.22631.34,5
401–500,grid.254567.7,5
401–500,grid.189747.4,5
401–500,grid.11843.3f,5
401–500,grid.11984.35,5
401–500,grid.1027.4,5
401–500,grid.6986.1,5
401–500,grid.264706.1,5
401–500,grid.265073.5,5
401–500,grid.265074.2,5
401–500,grid.24516.34,5
401–500,grid.5133.4,5
401–500,grid.20515.33,5
401–500,grid.267360.6,5
401–500,grid.7605.4,5
401–500,grid.10919.30,5
401–500,grid.12711.34,5
401–500,grid.5338.d,5
401–500,grid.5611.3,5
401–500,grid.49481.30,5
401–500,grid.267827.e,5
401–500,grid.15756.30,5
401–500,grid.267468.9,5
501–600,grid.411368.9,6
501–600,grid.7311.4,6
501–600,grid.9563.9,6
501–600,grid.64939.31,6
501–600,grid.33236.37,6
501–600,grid.18376.3b,6
501–600,grid.264260.4,6
501–600,grid.11220.30,6
501–600,grid.1033.1,6
501–600,grid.493090.7,6
501–600,grid.17236.31,6
501–600,grid.7637.5,6
501–600,grid.34428.39,6
501–600,grid.8158.4,6
501–600,grid.1023.0,6
501–600,grid.1043.6,6
501–600,grid.6810.f,6
501–600,grid.254145.3,6
501–600,grid.254224.7,6
501–600,grid.8051.c,6
501–600,grid.254748.8,6
501–600,grid.22069.3f,6
501–600,grid.1038.a,6
501–600,grid.5110.5,6
501–600,grid.34429.38,6
501–600,grid.14442.37,6
501–600,grid.9481.4,6
501–600,grid.67293.39,6
501–600,grid.266456.5,6
501–600,grid.417967.a,6
501–600,grid.417965.8,6
501–600,grid.429017.9,6
501–600,grid.35915.3b,6
501–600,grid.9970.7,6
501–600,grid.412057.5,6
501–600,grid.9757.c,6
501–600,grid.258518.3,6
501–600,grid.56302.32,6
501–600,grid.412149.b,6
501–600,grid.10041.34,6
501–600,grid.12332.31,6
501–600,grid.259029.5,6
501–600,grid.10049.3c,6
501–600,grid.16488.33,6
501–600,grid.9983.b,6
501–600,grid.4425.7,6
501–600,grid.64337.35,6
501–600,grid.11194.3c,6
501–600,grid.266673.0,6
501–600,grid.148374.d,6
501–600,grid.25055.37,6
501–600,grid.260128.f,6
501–600,grid.41891.35,6
501–600,grid.260478.f,6
501–600,grid.5216.0,6
501–600,grid.64523.36,6
501–600,grid.260539.b,6
501–600,grid.260770.4,6
501–600,grid.10711.36,6
501–600,grid.260896.3,6
501–600,grid.19477.3c,6
501–600,grid.10772.33,6
501–600,grid.4605.7,6
501–600,grid.65519.3e,6
501–600,grid.10837.3d,6
501–600,grid.7628.b,6
501–600,grid.10776.37,6
501–600,grid.10988.38,6
501–600,grid.10383.39,6
501–600,grid.11100.31,6
501–600,grid.443239.b,6
501–600,grid.6835.8,6
501–600,grid.41312.35,6
501–600,grid.24539.39,6
501–600,grid.262962.b,6
501–600,grid.15447.33,6
501–600,grid.9906.6,6
501–600,grid.263081.e,6
501–600,grid.32056.32,6
501–600,grid.263333.4,6
501–600,grid.27255.37,6
501–600,grid.263761.7,6
501–600,grid.79703.3a,6
501–600,grid.263826.b,6
501–600,grid.1031.3,6
501–600,grid.217309.e,6
501–600,grid.412896.0,6
501–600,grid.215352.2,6
501–600,grid.33763.32,6
501–600,grid.267337.4,6
501–600,grid.27736.37,6
501–600,grid.77602.34,6
501–600,grid.412261.2,6
501–600,grid.5390.f,6
501–600,grid.267370.7,6
501–600,grid.12916.3d,6
501–600,grid.268323.e,6
501–600,grid.12955.3a,6
501–600,grid.43169.39,6
601–800,grid.7144.6,6
601–800,grid.265880.1,6
601–800,grid.7159.a,6
601–800,grid.7157.4,6
601–800,grid.252119.c,6
601–800,grid.411370.0,6
601–800,grid.7247.6,6
601–800,grid.4793.9,6
601–800,grid.411017.2,6
601–800,grid.16299.35,6
601–800,grid.252546.2,6
601–800,grid.411507.6,6
601–800,grid.11480.3c,6
601–800,grid.252890.4,6
601–800,grid.43555.32,6
601–800,grid.7427.6,6
601–800,grid.7489.2,6
601–800,grid.411660.4,6
601–800,grid.411662.6,6
601–800,grid.6268.a,6
601–800,grid.12477.37,6
601–800,grid.7240.1,6
601–800,grid.7763.5,6
601–800,grid.7840.b,6
601–800,grid.7831.d,6
601–800,grid.170430.1,6
601–800,grid.216417.7,6
601–800,grid.145695.a,6
601–800,grid.136304.3,6
601–800,grid.443909.3,6
601–800,grid.22935.3f,6
601–800,grid.494717.8,6
601–800,grid.418920.6,6
601–800,grid.410319.e,6
601–800,grid.412889.e,6
601–800,grid.411932.c,6
601–800,grid.8096.7,6
601–800,grid.30055.33,6
601–800,grid.266231.2,6
